# id;descripcion;criticidad
1;Tarea operativa 1;4
2;Tarea operativa 2;1
3;Tarea operativa 3;3
4;Tarea operativa 4;2
5;Tarea operativa 5;4
6;Tarea operativa 6;4
7;Tarea operativa 7;4
8;Tarea operativa 8;2
9;Tarea operativa 9;3
10;Tarea operativa 10;1
11;Tarea operativa 11;2
12;Tarea operativa 12;3
13;Tarea operativa 13;1
14;Tarea operativa 14;2
15;Tarea operativa 15;4
16;Tarea operativa 16;3
17;Tarea operativa 17;2
18;Tarea operativa 18;4
19;Tarea operativa 19;4
20;Tarea operativa 20;1
21;Tarea operativa 21;4
22;Tarea operativa 22;4
23;Tarea operativa 23;3
24;Tarea operativa 24;2
25;Tarea operativa 25;4
26;Tarea operativa 26;3
27;Tarea operativa 27;2
28;Tarea operativa 28;2
29;Tarea operativa 29;4
30;Tarea operativa 30;4
31;Tarea operativa 31;4
32;Tarea operativa 32;4
33;Tarea operativa 33;3
34;Tarea operativa 34;4
35;Tarea operativa 35;3
36;Tarea operativa 36;3
37;Tarea operativa 37;4
38;Tarea operativa 38;4
39;Tarea operativa 39;4
40;Tarea operativa 40;3
41;Tarea operativa 41;4
42;Tarea operativa 42;1
43;Tarea operativa 43;2
44;Tarea operativa 44;3
45;Tarea operativa 45;1
46;Tarea operativa 46;2
47;Tarea operativa 47;2
48;Tarea operativa 48;3
49;Tarea operativa 49;4
50;Tarea operativa 50;3
51;Tarea operativa 51;3
52;Tarea operativa 52;2
53;Tarea operativa 53;3
54;Tarea operativa 54;4
55;Tarea operativa 55;4
56;Tarea operativa 56;4
57;Tarea operativa 57;2
58;Tarea operativa 58;4
59;Tarea operativa 59;2
60;Tarea operativa 60;3
61;Tarea operativa 61;4
62;Tarea operativa 62;4
63;Tarea operativa 63;3
64;Tarea operativa 64;4
65;Tarea operativa 65;4
66;Tarea operativa 66;4
67;Tarea operativa 67;2
68;Tarea operativa 68;1
69;Tarea operativa 69;3
70;Tarea operativa 70;3
71;Tarea operativa 71;2
72;Tarea operativa 72;4
73;Tarea operativa 73;4
74;Tarea operativa 74;3
75;Tarea operativa 75;4
76;Tarea operativa 76;3
77;Tarea operativa 77;4
78;Tarea operativa 78;3
79;Tarea operativa 79;3
80;Tarea operativa 80;2
81;Tarea operativa 81;3
82;Tarea operativa 82;3
83;Tarea operativa 83;4
84;Tarea operativa 84;4
85;Tarea operativa 85;3
86;Tarea operativa 86;2
87;Tarea operativa 87;4
88;Tarea operativa 88;3
89;Tarea operativa 89;2
90;Tarea operativa 90;1
91;Tarea operativa 91;2
92;Tarea operativa 92;4
93;Tarea operativa 93;4
94;Tarea operativa 94;3
95;Tarea operativa 95;1
96;Tarea operativa 96;3
97;Tarea operativa 97;4
98;Tarea operativa 98;3
99;Tarea operativa 99;4
100;Tarea operativa 100;4
101;Tarea operativa 101;1
102;Tarea operativa 102;4
103;Tarea operativa 103;4
104;Tarea operativa 104;3
105;Tarea operativa 105;3
106;Tarea operativa 106;4
107;Tarea operativa 107;2
108;Tarea operativa 108;3
109;Tarea operativa 109;3
110;Tarea operativa 110;4
111;Tarea operativa 111;4
112;Tarea operativa 112;3
113;Tarea operativa 113;3
114;Tarea operativa 114;2
115;Tarea operativa 115;4
116;Tarea operativa 116;4
117;Tarea operativa 117;3
118;Tarea operativa 118;4
119;Tarea operativa 119;4
120;Tarea operativa 120;2
